operation_id,operation_name,code_path,line_start..line_end,formula_hint_ascii,inputs,outputs,constants_used,tests_refs,notes
swap_get_amount_out,Cálculo de amount_out (X→Y),src/amm/swap.rs,42..71,dx_net = dx_gross - ceil(dx_gross * f_ppm / PPM_SCALE); dy_out = R_y - round_nearest_even((R_x * R_y) / (R_x + dx_net)),R_x;R_y;dx_gross;f_ppm,dy_out,PPM_SCALE;MIN_RESERVE,src/amm/swap.rs:223-408,"Valida reservas e dx>0, aplica taxa no input com ceil, garante y' >= MIN_RESERVE e retorna floor por diferença inteira."
swap_get_amount_in,Amount_in mínimo para alvo Y,src/amm/swap.rs,82..167,dx_net = ceil(R_x * dy_target / (R_y - dy_target)); dx_hi = ceil(dx_net * PPM_SCALE / (PPM_SCALE - f_ppm)); resultado = menor dx_gross com get_amount_out(...) >= dy_target,R_x;R_y;dy_target;f_ppm,dx_gross,PPM_SCALE;MIN_RESERVE,src/amm/swap.rs:223-408,"Gera upper bound com fórmula fechada, expande hi dobrando até cobrir dy e faz busca binária para garantir minimalidade."
pricing_spot_price_x_in_y,Spot price X em Y,src/amm/pricing.rs,19..23,p_spot_xy = round_nearest_even((R_y * WAD) / R_x),R_x;R_y,p_spot_xy,WAD,src/amm/pricing.rs:147-153,Valida reservas mínimas e escala para WAD antes de arredondar para nearest-even.
pricing_spot_price_y_in_x,Spot price Y em X,src/amm/pricing.rs,26..30,p_spot_yx = round_nearest_even((R_x * WAD) / R_y),R_x;R_y,p_spot_yx,WAD,src/amm/pricing.rs:147-153,"Mesma validação das reservas e conversão para WAD, invertendo a razão."
pricing_execution_price_x_to_y,Preço de execução X→Y,src/amm/pricing.rs,34..40,dy_out = get_amount_out(...); p_exec_xy = round_nearest_even((dy_out * WAD) / dx_gross),R_x;R_y;dx_gross;f_ppm,p_exec_xy,WAD,src/amm/pricing.rs:156-170,Reutiliza get_amount_out com as mesmas validações e converte para preço efetivo em WAD.
pricing_slippage_ppm_x_to_y,Slippage relativo X→Y,src/amm/pricing.rs,45..65,slip_ppm = clamp_ppm(round_nearest_even(((p_spot_xy - p_exec_xy) * PPM_SCALE) / p_spot_xy)),R_x;R_y;dx_gross;f_ppm,slip_ppm,PPM_SCALE,src/amm/pricing.rs:156-171,Aplica clamp 0..PPM_SCALE após arredondar nearest-even e devolve 0 quando preço de execução >= spot.
pricing_min_out_with_tolerance,Min out com tolerância,src/amm/pricing.rs,70..88,"tol = min(tol_ppm, PPM_SCALE); dy_out = get_amount_out(...); dy_min = floor(dy_out * (PPM_SCALE - tol) / PPM_SCALE)",R_x;R_y;dx_gross;f_ppm;tol_ppm,dy_min,PPM_SCALE,src/amm/pricing.rs:173-185,Clampa tolerância em ppm antes de aplicar fator (1 - tol) e usa floor inteiro via divisão por PPM_SCALE.
pricing_max_in_with_tolerance,Max in com tolerância,src/amm/pricing.rs,93..112,"tol = min(tol_ppm, PPM_SCALE); dx_core = get_amount_in(...); dx_max = ceil(dx_core * (PPM_SCALE + tol) / PPM_SCALE)",R_x;R_y;dy_target;f_ppm;tol_ppm,dx_max,PPM_SCALE,src/amm/pricing.rs:186-200,Após clamping soma tolerância ao fator (1 + tol) e aplica ceil para proteger contra underfill.
liquidity_initial_mint,Mint inicial de shares,src/amm/liquidity.rs,33..39,shares_mint = floor(sqrt(R_x * R_y)),R_x;R_y,shares_mint,MIN_RESERVE,src/amm/liquidity.rs:94-107,"Garante reservas válidas, calcula sqrt inteiro com floor e rejeita resultado zero."
liquidity_add_liquidity,Add liquidity proporcional,src/amm/liquidity.rs,44..61,"shares_mint = floor(min(dx_add * S_tot / R_x, dy_add * S_tot / R_y))",R_x;R_y;dx_add;dy_add;S_tot,shares_mint,MIN_RESERVE,src/amm/liquidity.rs:108-131,"Exige dx/dy > 0, usa floor em ambas proporções e pós-verifica overflow ao atualizar reservas."
liquidity_remove_liquidity,Remove liquidity proporcional,src/amm/liquidity.rs,66..83,dx_out = floor(R_x * S_burn / S_tot); dy_out = floor(R_y * S_burn / S_tot),R_x;R_y;S_burn;S_tot,dx_out;dy_out,MIN_RESERVE,src/amm/liquidity.rs:133-161,"Valida shares <= S_tot, aplica floor proporcional e verifica que reservas finais ficam >= MIN_RESERVE."
