operation_id,operation_name,stage,base,decimals,direction,moment,code_path,line_start..line_end,tie_rule,overflow_policy,underflow_policy,zero_policy,negative_policy,safety_rationale,user_rationale,notes
swap_get_amount_out,get_amount_out (X→Y),apply_input_fee,Q128.18,18,ceil,before_net_input,src/amm/swap.rs,27..35,n/a,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::InputTooSmall),not_applicable,Assegura cobrança mínima de taxa mesmo com frações ppm,Previne surpresa de taxa subcobrada quando usuário envia valor pequeno,Usa ceil_div_u256 para evitar perder frações de fee
swap_get_amount_out,get_amount_out (X→Y),solve_invariant,Q128.18,18,bankers,after_net_input,src/amm/swap.rs,57..59,half-even,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::InputTooSmall),not_applicable,Preserva simetria do invariável k sem viés de arredondamento,Entrega cotações consistentes independente da direção do swap,Divisão nearest-even em U256→u128 para y*
swap_get_amount_out,get_amount_out (X→Y),finalize_out_amount,Q128.18,18,floor,before_min_reserve_check,src/amm/swap.rs,61..68,n/a,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::InputTooSmall),not_applicable,Garante que reservas pós-troca não sejam superadas pelo arredondamento,Evita prometer mais do que há em estoque,Subtração inteira de y - y*
swap_get_amount_in,get_amount_in (X→Y),compute_net_target,Q128.18,18,ceil,before_fee_gross_up,src/amm/swap.rs,94..96,n/a,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::InputTooSmall),not_applicable,Assegura dx_net suficiente para alcançar dy mesmo com frações,Evita loops extras por falta de liquidez mínima,Ceil ao dividir x*dy por (y-dy)
swap_get_amount_in,get_amount_in (X→Y),gross_up_fee,Q128.18,18,ceil,before_search,src/amm/swap.rs,105..111,n/a,error(AmmError::Overflow),error(AmmError::InputTooSmall),fallback_to_one_when_zero,not_applicable,Garante que dx bruto cobre taxa ao inverter fee ppm,Evita que UI receba estimativa inferior ao necessário,Ceil ajusta 1e6/(1e6-fee) e força hi>=1
pricing_min_out_with_tolerance,min_out_with_tolerance,apply_slippage_discount,Q128.18,18,floor,after_amount_out,src/amm/pricing.rs,84..88,n/a,error(AmmError::Overflow),error(AmmError::Overflow),allow_zero_if_tol_100pct,not_applicable,Aplica desconto conservador no amount_out antes do check de slippage,Evita executar abaixo da tolerância informada pelo usuário,Multiplica por (1-tol) e usa divisão inteira
pricing_max_in_with_tolerance,max_in_with_tolerance,apply_slippage_markup,Q128.18,18,ceil,after_amount_in,src/amm/pricing.rs,107..110,n/a,error(AmmError::Overflow),error(AmmError::InputTooSmall),reject(AmmError::InputTooSmall),not_applicable,Gross-up garante entrada suficiente após aplicar tolerância,Evita compras frustradas por falta de margem de slippage,Ceil multiplica por (1+tol)
pricing_execution_price_x_to_y,execution_price_x_to_y,compute_execution_price,Q128.18,18,bankers,after_amount_out,src/amm/pricing.rs,38..40,half-even,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::ZeroAmount),not_applicable,Garante preço simétrico com rounding neutro,Mostra preço percebido sem viés de direção,Nearest-even em out/dx com escala WAD
pricing_spot_price_x_in_y,spot_price_x_in_y,compute_spot_price,Q128.18,18,bankers,after_reserve_validation,src/amm/pricing.rs,19..22,half-even,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::MinReserveBreached),not_applicable,Preserva simetria do preço instantâneo,Exibe spot estável independente de sentido,Divisão nearest-even de y/x
pricing_spot_price_y_in_x,spot_price_y_in_x,compute_spot_price,Q128.18,18,bankers,after_reserve_validation,src/amm/pricing.rs,26..29,half-even,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::MinReserveBreached),not_applicable,Preserva simetria do preço instantâneo,Exibe spot estável independente de sentido,Divisão nearest-even de x/y
pricing_slippage_ppm_x_to_y,slippage_ppm_x_to_y,normalize_slippage_ratio,Q32.6,6,bankers,after_execution_price,src/amm/pricing.rs,52..60,half-even,error(AmmError::Overflow),clamp_to_zero_when_exec>=spot,force_zero_if_exec>=spot,not_applicable,Normaliza diferença spot vs exec sem viés em ppm,Garante alerta de slippage coerente ao usuário,Nearest-even na razão e conversão para u32
pricing_slippage_ppm_x_to_y,slippage_ppm_x_to_y,clamp_slippage_bounds,Q32.6,6,none,after_ratio,src/amm/pricing.rs,61..64,n/a,cap_to_ppm_scale,error(AmmError::Overflow),force_zero_if_exec>=spot,not_applicable,Impede overflow ao limitar resultado ao range 0..1e6,Evita exibir valores inválidos na UI,Clamp em u32::MAX e PPM_SCALE
liquidity_initial_mint,initial_mint,sqrt_liquidity_floor,Q128.18,18,floor,after_invariant_product,src/amm/liquidity.rs,35..39,n/a,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::InputTooSmall),not_applicable,Evita superestimar shares iniciais do pool,Usuário recebe no máximo o que a reserva suporta,Sqrt inteira de x*y retorna floor
liquidity_add_liquidity,add_liquidity,proportional_allocation_floor,Q128.18,18,floor,after_ratio_projection,src/amm/liquidity.rs,50..55,n/a,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::InputTooSmall),not_applicable,Assegura que mint não ultrapasse o braço mais curto,Evita diluição inesperada ao adicionar liquidez,Divisão inteira em cada braço seguido de min
liquidity_remove_liquidity,remove_liquidity,redeem_allocation_floor,Q128.18,18,floor,before_min_reserve_check,src/amm/liquidity.rs,72..83,n/a,error(AmmError::Overflow),error(AmmError::Overflow),reject(AmmError::InputTooSmall),not_applicable,Garante que saques não deixem resíduos negativos,Evita prometer resgates além do permitido,Divisão inteira de x*S_burn/S_total
